,ID,Recency,Frequency,Monetary,RFM,Segment,BMI,Income,Ethnicity,Lifestage,Strata,Members,Loc
191,133015101,446.593537692474,82,73.05487804878048,134.0,At-Risk,Over Weight,>5000,Chinese,Teens Aches,Urban,7+,North
192,133029102,97.55413167641117,83,64.29277108433733,334.0,Loyalists,Over Weight,>5000,Chinese,Matured Families,Urban,5,North
193,133031101,97.55413167641117,68,40.44558823529412,322.0,New customers,Healthy,>5000,Chinese,Teens Aches,Urban,1-3,North
194,133039101,94.30724124759843,55,24.927272727272726,321.0,New customers,Healthy,2000 - 2999,Chinese,Matured Families,Urban,4,North
195,133040101,114.95398284897212,93,64.48387096774194,234.0,At-Risk,Obese,>5000,Malay,Teens and Toddlers,Urban,5,North
196,133045101,138.59926329491452,66,16.054545454545455,221.0,Churned,Over Weight,3000 - 3999,Chinese,Matured Families,Urban,1-3,North
197,133052101,87.25122260556122,122,15.787704918032789,431.0,Low-Spending Loyalists,Healthy,3000 - 3999,Chinese,Matured Families,Urban,1-3,North
198,133055101,1051.6303500638758,12,21.724999999999998,111.0,Lost,Healthy,2000 - 2999,Others,Empty Nesters,Urban,1-3,North
199,133056101,94.82775807701344,151,35.72516556291391,342.0,Low-Spending Loyalists,Healthy,1500 - 1999,Others,Matured Families,Urban,4,North
200,133057101,111.73507750834308,51,63.32156862745098,223.0,At-Risk,Over Weight,3000 - 3999,Malay,Teens Aches,Urban,5,North
201,133065101,100.5379673878113,83,50.75301204819275,333.0,Loyalists,Over Weight,>5000,Malay,Matured Families,Urban,1-3,North
202,133067101,80.7978498267804,156,72.07884615384617,444.0,Best customers,Healthy,1500 - 1999,Malay,Teens Aches,Urban,6,North
203,133076101,107.99965706338291,89,43.471910112359545,232.0,At-Risk,Obese,< 1500,Malay,Nesting Families,Urban,1-3,North
204,133084101,426.24438797460374,90,37.40555555555556,132.0,Churned,Over Weight,>5000,Chinese,Matured Families,Urban,5,North
205,133088101,96.94920641068232,146,31.566438356164394,341.0,Low-Spending Loyalists,Healthy,>5000,Malay,Nesting Families,Urban,6,North
206,133089101,106.73050648921102,126,40.30555555555556,342.0,Low-Spending Loyalists,Healthy,1500 - 1999,Malay,Teens Aches,Urban,7+,North
207,133097101,80.7978498267804,139,45.63093525179855,442.0,Low-Spending Loyalists,Under Weight,>5000,Malay,Teens and Toddlers,Urban,7+,North
208,133101101,113.06373828621722,86,48.863953488372104,233.0,Potential Loyalists,Healthy,< 1500,Malay,Teens Aches,Urban,7+,North
209,133107101,1088.717848248425,9,67.72222222222223,114.0,Churned,Healthy,2000 - 2999,Chinese,Teens and Toddlers,Urban,4,North
210,133112101,92.24360455365657,153,49.50718954248365,343.0,Loyalists,Healthy,3000 - 3999,Malay,Teens Aches,Urban,5,North
211,133115101,1032.9841882058613,17,55.029411764705884,113.0,Churned,Obese,2000 - 2999,Malay,Teens and Toddlers,Urban,5,North
212,133122101,98.98166514180717,110,24.130909090909096,331.0,Potential Loyalists,Under Weight,2000 - 2999,Malay,Teens and Toddlers,Urban,5,North
213,133123101,96.56888778555216,106,69.54339622641507,334.0,Loyalists,Under Weight,4000 - 4999,Others,Teens and Toddlers,Urban,4,North
214,133134101,412.3080318883896,57,43.08947368421053,122.0,Lost,Obese,< 1500,Chinese,Matured Families,Urban,1-3,North
215,133135101,113.7018989154295,40,58.78500000000001,223.0,At-Risk,Obese,>5000,Malay,Teens and Toddlers,Urban,5,North
216,133140101,1039.9842946346241,18,42.99444444444444,112.0,Lost,Under Weight,1500 - 1999,Malay,Teens and Toddlers,Urban,7+,North
217,136002101,80.7978498267804,145,32.662758620689665,442.0,Low-Spending Loyalists,Obese,1500 - 1999,Chinese,Empty Nesters,Urban,1-3,North
218,136011101,94.30724124759843,104,19.669230769230772,331.0,Potential Loyalists,Healthy,>5000,Chinese,Empty Nesters,Urban,1-3,North
219,136012101,94.82775807701344,143,29.663636363636368,341.0,Low-Spending Loyalists,Healthy,2000 - 2999,Chinese,Matured Families,Urban,5,North
220,136014101,85.20779609353276,116,32.530172413793096,432.0,Low-Spending Loyalists,Healthy,>5000,Chinese,Empty Nesters,Urban,1-3,North
221,136016101,157.06408732271322,149,21.653691275167784,241.0,At-Risk,Healthy,1500 - 1999,Malay,Teens and Toddlers,Urban,7+,North
222,136048101,91.93158114073543,97,22.148453608247422,331.0,Potential Loyalists,Healthy,4000 - 4999,Chinese,Matured Families,Urban,6,North
223,136051101,104.21620456228013,111,208.3387387387387,334.0,Loyalists,Obese,>5000,Others,Teens Aches,Urban,5,North
224,136059101,126.83646050520817,110,27.090909090909093,231.0,Churned,Healthy,3000 - 3999,Chinese,Empty Nesters,Urban,1-3,North
225,136066101,80.7978498267804,131,38.96335877862595,442.0,Low-Spending Loyalists,Over Weight,3000 - 3999,Malay,Empty Nesters,Urban,1-3,North
226,136068101,85.20779609353276,139,100.97482014388484,444.0,Best customers,Healthy,>5000,Chinese,Matured Families,Urban,4,North
227,136071101,764.5309565832098,58,95.07068965517243,124.0,At-Risk,Obese,>5000,Malay,Nesting Families,Urban,6,North
228,136072101,115.85902414245992,81,69.67777777777779,234.0,At-Risk,Healthy,>5000,Chinese,Teens Aches,Urban,4,North
229,136073101,112.73055598547431,69,56.72028985507247,223.0,At-Risk,Healthy,1500 - 1999,Malay,Teens Aches,Urban,6,North
230,136076101,85.20779609353276,155,68.0683870967742,444.0,Best customers,Healthy,4000 - 4999,Chinese,Teens Aches,Urban,4,North
231,136078101,80.7978498267804,148,37.684459459459454,442.0,Low-Spending Loyalists,Healthy,3000 - 3999,Chinese,Teens Aches,Urban,4,North
232,136083101,902.2189690331473,18,187.95,114.0,Churned,Under Weight,>5000,Chinese,Teens and Toddlers,Urban,4,North
233,136084101,113.06373828621722,114,17.579824561403512,231.0,Churned,Over Weight,4000 - 4999,Chinese,Empty Nesters,Urban,1-3,North
234,136089101,95.2694106940282,89,34.3696629213483,332.0,Low-Spending Loyalists,Under Weight,>5000,Malay,Teens and Toddlers,Urban,5,North
235,137002101,93.4267205865875,154,50.64480519480517,343.0,Loyalists,Healthy,4000 - 4999,Others,Empty Nesters,Urban,1-3,North
236,137006101,101.3554122404115,61,37.7032786885246,322.0,New customers,Over Weight,>5000,Malay,Teens Aches,Urban,4,North
237,137008101,85.20779609353276,145,66.40758620689654,444.0,Best customers,Obese,2000 - 2999,Malay,Teens Aches,Urban,6,North
238,137014101,80.7978498267804,113,51.89646017699114,433.0,Best customers,Obese,2000 - 2999,Malay,Teens Aches,Urban,6,North
239,137018101,96.56888778555216,152,23.92894736842106,341.0,Low-Spending Loyalists,Obese,1500 - 1999,Malay,Empty Nesters,Urban,1-3,North
240,137025101,140.2064979897674,89,165.99213483146067,234.0,At-Risk,Healthy,>5000,Chinese,Nesting Families,Urban,4,North
241,137027101,87.81400108459273,136,192.7632352941177,444.0,Best customers,Over Weight,>5000,Chinese,Matured Families,Urban,4,North
242,137029101,87.81400108459273,114,28.253508771929837,431.0,Low-Spending Loyalists,Over Weight,4000 - 4999,Others,Teens Aches,Urban,1-3,North
243,137033101,120.8375435182523,78,78.8897435897436,234.0,At-Risk,Obese,2000 - 2999,Malay,Teens and Toddlers,Urban,7+,North
244,137034101,115.43402465122368,69,48.23623188405798,223.0,At-Risk,Healthy,>5000,Malay,Teens and Toddlers,Urban,6,North
245,137036101,84.87353743314323,152,35.00065789473684,442.0,Low-Spending Loyalists,Obese,2000 - 2999,Chinese,Matured Families,Urban,1-3,North
246,137037101,1004.9837476642083,24,22.8125,111.0,Lost,Under Weight,1500 - 1999,Chinese,Teens Aches,Urban,1-3,North
247,137040101,94.59886259838368,130,45.981538461538456,343.0,Loyalists,Healthy,2000 - 2999,Chinese,Empty Nesters,Urban,1-3,North
248,137043101,1087.910964455689,4,91.075,114.0,Churned,Healthy,>5000,Chinese,Teens Aches,Urban,6,North
249,137051101,1121.6326211019186,8,49.862500000000004,113.0,Churned,Healthy,2000 - 2999,Malay,Teens and Toddlers,Urban,5,North
250,137059101,347.5244197251866,58,48.803448275862074,223.0,At-Risk,Under Weight,2000 - 2999,Malay,Teens and Toddlers,Urban,7+,North
251,138001101,108.39728505430075,94,36.46170212765957,232.0,At-Risk,Healthy,>5000,Chinese,Matured Families,Urban,1-3,North
252,138007101,125.03393212138893,109,11.388990825688081,231.0,Churned,Healthy,>5000,Chinese,Matured Families,Urban,1-3,North
253,138008101,87.25122260556122,143,22.590909090909093,441.0,Low-Spending Loyalists,Healthy,3000 - 3999,Chinese,Matured Families,Urban,4,North
254,138009103,192.91533419386596,133,53.142857142857146,243.0,Potential Loyalists,Healthy,>5000,Chinese,Empty Nesters,Urban,1-3,North
255,138014101,89.91992878335142,152,47.560526315789446,343.0,Loyalists,Healthy,3000 - 3999,Chinese,Teens Aches,Urban,4,North
256,138015101,80.7978498267804,139,49.77769784172662,443.0,Best customers,Over Weight,1500 - 1999,Chinese,Empty Nesters,Urban,1-3,North
257,138017101,80.7978498267804,107,27.055140186915885,431.0,Low-Spending Loyalists,Over Weight,>5000,Chinese,Matured Families,Urban,5,North
258,138020101,85.20779609353276,143,17.223076923076935,441.0,Low-Spending Loyalists,Healthy,>5000,Chinese,Nesting Families,Urban,7+,North
259,138030103,87.81400108459273,145,67.85172413793103,444.0,Best customers,Healthy,>5000,Chinese,Teens and Toddlers,Urban,7+,North
260,138034101,94.82775807701344,141,32.619148936170205,342.0,Low-Spending Loyalists,Over Weight,>5000,Malay,Matured Families,Urban,1-3,North
261,138039101,89.50593471044428,145,44.60413793103449,342.0,Low-Spending Loyalists,Healthy,>5000,Chinese,Teens Aches,Urban,5,North
262,138040101,87.81400108459273,110,27.446363636363643,431.0,Low-Spending Loyalists,Healthy,2000 - 2999,Chinese,Teens Aches,Urban,5,North
263,138045101,89.91992878335142,97,34.59381443298969,332.0,Low-Spending Loyalists,Under Weight,>5000,Chinese,Teens Aches,Urban,4,North
